ID_indicateur,Libellé_indicateur,Unité,Valeur,Exclusion,Coef_ponderation,Score,Calcul_scoring_necessaire,Commentaire
i026,Identification d'un agent-référent sur les enjeux énergétiques,,"Oui, 1/2 ETP",Non,2,66,Non,
i027,Identification d'un élu-référent sur les enjeux énergétiques,,Non,Non,2,0,Non,
i028,Identification d'un agent-référent sur les enjeux de logement,,Oui,Non,2,100,Non,
i029,Identification d'un élu-référent sur les enjeux de logement,,En cours,Non,2,20,Non,
i030,Existence d'un Plan Local de l'Habitat (PLH) à jour et mis en oeuvre,,,Non,2,,Non,
i031,Nombre de personnes sans domicile fixe pour 100.000 habitants,/ 100 000 hab,,Non,2,,Non,
i039,Existence d'un document identifiant les zones de logement exposées aux risques climatiques,,,Non,2,,Non,
i040,Nombre de places d'hébergement généraliste pour les personnes vulnérables pour 100.000 hab.,/ 100 000 hab,,Non,2,,Non,
i041,Identification (dans un document-cadre) des lieux refuge de chaque commune,,,Non,2,,Non,
i042,Existence de dispositions ou outils réglementaires ou volontaires permettant de répondre au besoin de logement des résidents.,,En cours d'élaboration,Non,2,20,Non,
i045,"Mise en œuvre effective du service public de la rénovation de l'habitat, à travers une plateforme territoriale de la rénovation énergétique et un dispositif d'accompagnement technique et financier pour la rénovation des logements des ménages modestes",,En cours d'élaboration,Non,2,20,Non,
i046,"Existence d'un document-cadre en matière de mobilité durable (PDM, PDMs, schéma directeur..) à jour et en cours de mise en oeuvre",,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i050,"Nombre d'itinéraires d'évacuation et de secours : axes routiers (départementaux et nationaux), ferroviaires (voies ferrées) et maritimes (liaison)",,7,Non,2,80,Non,
i055,Existence d'un service de transport en commun intercommunal (bus ou transport à la demande),,En cours d'élaboration,Non,2,20,Non,
i059,Identification d'un agent-référent sur les enjeux de mobilité,,En cours,Non,2,20,Non,
i060,Identification d'un élu référent sur les enjeux de mobilité,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i061,Identification d'un agent-référent sur les enjeux de santé,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i062,Identification d'un élu référent sur les enjeux de santé,,En cours,Non,2,20,Non,
i063,Existence d'un Contrat Local de Santé à jour et en cours de mise en oeuvre,,Non mais en cours d'élaboration,Non,2,20,Non,
i074,Nombre de jours d'épisode de pollution de l'air par an,jours,34,Non,2,,Oui,
i075,Existence d'un coefficient de biotope ou de pleine terre dans le plan local d'urbanisme intercommunal ou dans chaque PLU,,Oui,Non,2,100,Non,
i076,"Cartographie des sentiers de randonnée et espaces naturels accessibles au public (Plan de randonnée, SIG...)",,En cours d'élaboration,Non,2,20,Non,
i078,Part des communes couvertes par un Atlas de la Biodiversité Communale (ABC),%,34,Non,2,,Oui,
i079,"Identification d'un agent-référent sur les enjeux des espaces verts, des milieux naturels et de la biodiversité",,En cours,Non,2,20,Non,
i080,"Identification d'un élu-référent sur les enjeux des espaces verts, des milieux naturels et de la biodiversité",,Oui,Non,2,100,Non,
i081,Existence d'un document-cadre intercommunal pour la protection de la biodiversité,,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i082,Existence d'un document-cadre en matière d'économie circulaire,,"Oui, mis en œuvre et en cours de révision",Non,2,80,Non,
i088,Existence d'un dispositif de tarification incitative sur la collecte des déchets (taxe ou redevance),,"Oui, mis en œuvre et en cours de révision",Non,2,80,Non,
i090,Part des achats publics intégrant au moins une considération environnementale,%,45,Non,2,,Oui,
i091,Identification d'un agent-référent sur les enjeux économiques,,En cours,Non,2,20,Non,
i092,Identification d'un élu référent sur les enjeux économiques,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i093,Existence d'un Projet Éducatif Territorial (PEDT),,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i098,Part des établissements scolaires engagés dans une démarche globale de développement durable (label E3D),%,45,Non,2,,Oui,
i099,Part des communes du territoire de plus de 5000 habitants disposant d'une programmation événementielle en lien avec la transition écologique et la résilience territoriale,%,3,Non,2,,Oui,
i100,Existence d'un dispositif d'éco-conditionnalité des aides aux acteurs et projets associatifs,,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i101,Identification d'un agent-référent sur les enjeux éducationnels et informationnels,,,Non,2,,Non,
i102,Identification d'un élu-référent sur les enjeux éducationnels et informationnels,,,Non,2,,Non,
i103,Identification d'un agent-référent sur les enjeux alimentaires,,En cours,Non,2,20,Non,
i104,Identification d'un élu-référent sur les enjeux alimentaires,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i105,Existence d'un Projet Alimentaire Territorial à jour et mis en oeuvre,,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i107,Nombre de marchés alimentaires hebdomadaires pour 1000 habitants,/ 1 000 hab,34,Non,2,,Oui,
i109,Part de la restauration collective respectant les critères d'approvisionnement de la loi Egalim,%,45,Non,2,,Oui,
i116,Identification d'un agent-référent sur les enjeux de sauvegarde,,Oui,Non,2,100,Non,
i117,Identification d'un élu-référent sur les enjeux de sauvegarde,,"Oui, 1/2 ETP",Non,2,66,Non,
i118,Part des communes couvertes par un PCS adopté depuis 2020,%,4,Non,2,,Oui,
i120,Part des communes dotées d'une Réserve Citoyenne de Sécurité Civile (RCSC),%,4,Non,2,,Oui,
i121,Existence d'un recensement des sites et événements sensibles,,Non mais en cours d'élaboration,Non,2,20,Non,
i122,"Identification dans un document-cadre (PiCS, note interne..) des associations agréées de sécurité civile avec lesquelles les communes du territoire ont des conventions",,Oui pour une majorité de communes,Non,2,66,Non,
i123,"Existence d'un document-cadre en matière de résilience numérique (shéma directeur, PCA...) à jour et mis en oeuvre",,"Oui, à jour et mis en œuvre",Non,2,100,Non,
i124,Existence d'une Convention Territoriale Globale (CTG) comprenant une analyse des besoins sociaux à jour et en cours de mise en oeuvre,,"Oui, mais pas à jour et non mis en œuvre",Non,2,33,Non,
i125,Reconnaissance de l'engagement de l'Office de Tourisme dans la transition écologique,,En cours,Non,2,50,Non,
i132,Nombre de structures de l'animation de la vie sociale agréée par la CAF (Centre social ou Espace de vie sociale) à l'échelle intercommunale pour 100.000 habitants,/ 100 000 hab,45,Non,2,,Oui,
i133,Nombre d'événements grand public festifs et fédérateurs organisés ou soutenus par la collectivité par an pour 100.000 habitants,/ 100 000 hab,32,Non,2,,Oui,
i136,Nombre de travailleurs sociaux pour 100 allocataires du RSA,/ 100 allocataires,32,Non,2,,Oui,
i137,Part des communes de plus de 1000 habitants ayant totalement mis en oeuvre leur Plan de mise en accessibilité de la voirie et des aménagements des espaces publics (PAVE),%,2,Non,2,,Oui,
i138,Part des femmes dans l'exécutif communautaire,%,2,Non,2,,Oui,
i139,Identification d'un agent-référent sur les enjeux de cohésion sociale,,En cours,Non,2,20,Non,
i140,Identification d'un élu-référent sur les enjeux de cohésion sociale,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i141,Inventaire des zones humides,,,Non,2,,Non,
i143,Existence d'une recyclerie ou ressourcerie intercommunale (avec un soutien ou une implication de l'EPCI dans la gouvernance-gestion de l'équipement),,"Recyclerie en cours de création, soutenue ou portée par la collectivité",Non,2,40,Non,
i144,Taux de couverture des besoins en électricité par les productions énergétiques renouvelables locales,%,,Non,2,,Non,
i145,Taux de couverture des besoins en chaleur par les productions énergétiques renouvelables locales,%,,Non,2,,Non,
i146,"Existence de capacités de back-up électriques pour certains bâtiments publics critiques (batterie, groupe électrogène, système ENR avec onduleur...)",,,Non,2,,Non,
i152,Nombre d'ateliers de réparation vélo pour 1000 hab,/ 100 000 hab,,Non,2,,Non,
i153,Part des communes disposant d'un registre tenu à jour des personnes vulnérables,%,,Non,2,,Non,
i154,Existence d'un PiCS à jour et mis en oeuvre,,,Non,2,,Non,
i155,Part des risques majeurs Georisques bénéficiant d'une fiche-action dans le PiCS,%,,Non,2,,Non,
i159,"Existence de moyens de communication autonomes pour la gestion de crise (radio, talkie-walkie, téléphone satellite...)",,,Non,2,,Non,
i160,"Engagement du territoire dans le programme ""Territoire Engagé Transition Ecologique (TETE) et niveau de labellisation",,,Non,2,,Non,
i163,Réalisation d'au moins une action de sensibilisation des citoyens à la culture du risque par commune et par an,,,Non,2,,Non,
