ID_indicateurs,Libellé_indicateurs,b01_Avoir accès à l'eau douce,b02_Avoir accès à l'énergie,b03_Se loger,b04_Se déplacer,b05_Se soigner,b06_Être en lien avec la nature,b07_Produire et s'approvisionner localement,b08_S'informer et s'instruire,b09_Se nourrir,b10_Être en sécurité,b11_Vivre ensemble et faire société,o1_Subsistance,o2_Gestion-de-crise,o3_Soutenabilité,Typ1_Etat,Typ2_Action
i151,Durée moyenne de déplacement par jour et par personne,,,,x,,,,,,,,x,,,X,
i152,Nombre d'ateliers de réparation vélo pour 1000 hab,,,,x,,,,,,,x,x,,x,,X
i153,Part des communes disposant d'un registre tenu à jour des personnes vulnérables,,,,,,,,,,x,x,x,x,,,X
i154,Existence d'un PiCS à jour et mis en oeuvre,,,,,,,,,,x,,,x,,,X
i155,Part des risques majeurs Georisques bénéficiant d'une fiche-action dans le PiCS,,,,,,,,,,x,,,x,,,X
i156,Nombre de sites SEVESO sur le territoire,,,,,x,x,x,,,x,,,x,,X,
i157,Nombre de licenciés sportifs pour 100 habitants,,,,,x,,,,,,x,x,,,X,
i158,Nombre d'arrêtés de catastrophes naturelles publiés au JO rapporté à la superficie du territoire,,,,,,x,,,,x,,,x,,X,
i159,"Existence de moyens de communication autonomes pour la gestion de crise (radio, talkie-walkie, téléphone satellite...)",,,,,,,,x,,x,,,x,,,X
i160,Engagement du territoire dans le programme “Territoire Engagé Transition Ecologique (TETE) et niveau de labellisation,,x,x,x,,x,,,,,x,,,x,,X
i161,Indice de vieillissement (nombre de plus de 65 ans pour 100 jeunes de moins de 20 ans),,,,,,,,,,,x,x,,,X,
i162,Taux de suicides,,,,,x,,,,,,x,x,,,X,
i163,Réalisation d'au moins une action de sensibilisation des citoyens à la culture du risque par commune et par an,,,,,,,,x,,x,,,x,,,X
i164,"Part de la population en emploi précaire
",,,,,,,x,,,x,x,x,,,X,
